id,BertzCT,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Chi4n,EState_VSA1,EState_VSA2,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomMolWt,Kappa3,MaxAbsEStateIndex,MinEStateIndex,NumHeteroatoms,PEOE_VSA10,PEOE_VSA14,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SlogP_VSA3,VSA_EState9,fr_COO,fr_COO2,EC1,EC2,EC3,EC4,EC5,EC6
C00009,49.78353987,2.0,0.782574186,2.347722558,0.513277132,1.539831395,0.0,0.0,7.822697123,0.0,97.97689521,1.2,1.2,1.2,0.11,94.97,1512.242231,8.881944444,-4.638888889,5,0.0,7.822697123,0.0,0.0,0.0,7.822697123,0.0,4.565048285,16.92361111,0,0,1,1,1,1,0,1
C00013,147.3551723,3.707106781,1.530296743,4.59089023,1.06280356,3.678308627,1.914534138,0.138556482,15.64539425,0.0,177.9432257,0.888888889,1.111111111,1.111111111,0.26,173.941,8.26,9.626875,-5.050347222,9,0.0,15.64539425,0.0,0.0,0.0,15.64539425,0.0,13.44072794,20.89902778,0,0,1,1,1,1,0,1
C00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15054635,17.0265491,1.0,1.0,1.0,-0.04,14.007,-104.04,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,0,1
C00017,172.7201058,4.947264863,2.081213825,2.081213825,1.157830239,1.157830239,0.489277685,0.180979615,12.51406169,12.45193614,130.0378421,1.777777778,2.333333333,2.666666667,-1.1,124.055,1.394402828,10.86074074,-0.931481482,7,0.0,50.71205567,0.0,0.0,0.0,11.87648502,13.08951281,9.589074368,35.1057398,1,1,0,1,1,0,0,0
C00022,72.03910002,2.64273441,1.381855088,1.381855088,0.861338782,0.861338782,0.301175685,0.0,11.75255023,0.0,88.01604399,1.5,1.666666667,1.666666667,-0.86,84.03,1.458471338,9.543981482,-1.37962963,3,0.0,5.969305288,0.0,0.0,6.9237372,11.75255023,6.9237372,9.589074368,25.33333333,1,1,1,1,1,1,0,1
C00024,1710.034747,23.51709351,14.54052893,20.04731446,11.40936033,16.91698926,10.72159363,4.324943437,84.55497195,41.60735208,809.1257736,1.078431373,1.745098039,2.392156863,-2.44,771.274,12.87649819,12.61295555,-5.557255669,28,36.25988634,23.46809137,25.60935935,0.0,37.60191571,69.14135342,57.83579994,50.69749222,99.41221009,0,0,1,1,1,0,0,1
C00025,144.5833771,4.53658126,2.739272035,2.739272035,1.877144418,1.877144418,0.98640468,0.402452692,17.98045141,12.84164325,147.0531578,1.4,1.9,2.2,-1.1,138.058,3.848565935,9.993880386,-1.165509259,5,6.041840829,11.93861058,0.0,6.420821623,6.420821623,11.93861058,18.88348408,9.589074368,37.66666667,2,2,1,1,1,1,1,1
C00026,170.8771238,4.53658126,2.516692812,2.516692812,1.622067443,1.622067443,0.804463482,0.327396508,30.56349877,0.0,146.0215233,1.0,1.5,1.8,-1.39,140.05,3.592178163,10.18439815,-1.582175926,5,0.0,11.93861058,0.0,0.0,6.420821623,17.72185552,12.84164325,14.38361155,41.0,2,2,1,1,0,1,0,1
C00027,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,34.0054793,1.0,1.0,1.0,-0.08,31.998,-14.58,6.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0,1,0,0,1,0,0
C00029,1123.772869,16.65350342,9.989945016,12.98083525,7.680907174,10.67734493,7.756838835,3.350949116,95.35386108,0.0,566.0550206,0.916666667,1.555555556,2.166666667,-1.38,542.11,6.539616207,12.15447446,-5.59237418,21,42.72776471,21.33513764,0.0,0.0,12.26321064,15.64539425,55.24569261,31.96194817,83.93886672,0,0,1,1,1,1,1,0
C00030,126.1410502,5.16390246,3.431698411,3.431698411,2.602891828,2.602891828,1.786059573,1.027594912,24.41586555,13.21376393,164.0684735,1.181818182,1.818181818,2.363636364,-0.2,152.061,1.686939792,9.11287037,-1.221388889,5,24.41586555,0.0,0.0,0.0,0.0,0.0,24.41586555,4.736862954,35.83333333,0,0,1,1,1,1,0,1
C00031,146.2188491,5.574586063,3.56200947,3.56200947,2.719449317,2.719449317,1.86705949,1.081733811,37.31277424,0.0,180.0633881,0.916666667,1.5,2.0,-0.24,168.06,1.581758759,9.119537037,-1.568935185,6,24.41586555,0.0,0.0,0.0,0.0,0.0,30.70589228,4.736862954,41.66666667,0,0,1,1,1,0,1,0
C00033,27.01955001,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0.0,0.0,5.969305288,0.0,60.02112937,2.0,2.0,2.0,-0.53,56.02,1.156009256,9.0,-0.833333333,2,0.0,0.0,0.0,0.0,6.9237372,5.969305288,6.9237372,4.794537184,16.66666667,1,1,1,1,1,0,0,1
C00036,158.34093,4.03658126,2.016692812,2.016692812,1.298844138,1.298844138,0.550318795,0.212963369,24.14267715,0.0,132.0058732,1.111111111,1.555555556,1.666666667,-1.39,128.039,3.215143722,9.97287037,-1.710740741,5,6.420821623,11.93861058,0.0,0.0,0.0,17.72185552,6.420821623,14.38361155,39.5,2,2,1,1,1,1,1,0
